crop_id,crop_name,source_category_id,source_category_name,taxonomy_type_code,taxonomy_type_name,taxonomy_category_code,taxonomy_category_name,match_method,match_status,category_status,review_note
135,Common bean,2,Pulse Crops,common-bean,Common bean,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
136,Cuccumber,5,"Tubers, Roots & Vegetable Crops",cuccumber,Cuccumber,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
137,Eggplant,5,"Tubers, Roots & Vegetable Crops",eggplant,Eggplant,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
138,Fig,6,Fruit Crops,fig,Fig,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
139,Fine bush,5,"Tubers, Roots & Vegetable Crops",fine-bush,Fine bush,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
140,Green courgette,5,"Tubers, Roots & Vegetable Crops",green-courgette,Green courgette,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
141,Japanese mint,10,Other Crops,japanese-mint,Japanese mint,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
142,Lemon scented eucalyptus,10,Other Crops,lemon-scented-eucalyptus,Lemon scented eucalyptus,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
143,Pakchoi,5,"Tubers, Roots & Vegetable Crops",pakchoi,Pakchoi,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
144,Palmarosa,10,Other Crops,palmarosa,Palmarosa,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
145,Papaya,6,Fruit Crops,papaya,Papaya,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
146,Peach,6,Fruit Crops,peach,Peach,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
147,Peppermint,10,Other Crops,peppermint,Peppermint,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
148,Red beet,5,"Tubers, Roots & Vegetable Crops",red-beet,Red beet,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
149,Rosemary,10,Other Crops,rosemary,Rosemary,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
150,Snap bean,5,"Tubers, Roots & Vegetable Crops",snap-bean,Snap bean,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
151,White cumin,10,Other Crops,white-cumin,White cumin,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
152,Yellow courgette,5,"Tubers, Roots & Vegetable Crops",yellow-courgette,Yellow courgette,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
153,Ziziphus (Kurkura),6,Fruit Crops,ziziphus-kurkura,Ziziphus (Kurkura),fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
